URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
T,A333,FAR UUA /OV FAR160040/TM 0341/FL370/TP A333/TB SEV 370-380,SEV 370-380,,37000.0,46.29876750935713,-96.47721823347806,2017-05-20 03:41:00+00:00,5.0,0,H
T,EA50,SBO UUA /OV ALD260055/TM 2009/FL260/TP EA50/TB EXTRM 260-270/RM NO DAMAGE PILOT BANGED HEAD ON CEILING/ZTLFD,EXTRM 260-270,,26000.0,32.850809610415226,-82.3666037938811,2017-05-20 20:09:00+00:00,7.0,0,U
F,B77W,UUA /OV CYHZ 088165 /TM 2342 /FL330 /TP B77W /TB MDT-SEV /RM CLIMB TO FL350 TB MDT  EB  COORD 4405N05953W COR COPY,MDT-SEV,,33000.0,44.97681138980254,-59.62963652115829,2017-05-24 23:42:00+00:00,5.0,0,U
F,B379,CDS UA /OV GTH100035 /TM 2123 /FL300 /TP B379 /TB LGT-MOD CHOP/RM AWC-WEB:,LGT-MOD CHOP,,30000.0,33.67869702480969,-99.64879149225057,2017-05-21 21:23:00+00:00,2.0,0,U
F,B767,RMG UA /OV RMG140007/TM 2339/FL130/TP B767/TB MOD/RM ZTLFD,MOD,,13000.0,34.25840090917556,-85.0702725337928,2017-05-20 23:39:00+00:00,3.0,1,H
F,B744,DLG UA /OV DLG015062/TM 1350/FL340/TP B744/TB OCNL LGT/RM ZAN,OCNL LGT,,34000.0,60.03820420190454,-157.98007881934035,2017-05-17 13:50:00+00:00,1.0,0,H
F,B77L,BOS UA /OV 4055N06025W/TM 0220/FL360/TP B77L/TB SEV,SEV,,36000.0,40.9166,-60.4166,2017-05-08 02:20:00+00:00,5.0,0,U
F,C150,IPT UA /OV N27180010 /TM 1814 /FL035 /TP C150 /TB LGT CHOP,LGT CHOP,,3500.0,41.57331983331984,-76.44,2017-05-10 18:14:00+00:00,1.0,0,L
T,CRJ2,SGF UUA /OV SGF270008/TM 1437/FL040/TP CRJ2/TB SEV/RM -30KT SEV TURB DURD,SEV,,4000.0,37.2397,-93.5571944403336,2017-05-02 14:37:00+00:00,5.0,0,M
T,E145,MOB UUA /OV MOB/TM 1952/FL360/TP E145/TB OD-SEV/RM NO DAMAGE OR INJURIES REPORTED/ZTLFD,OD-SEV,,36000.0,30.68833,-88.24556,2017-05-20 19:52:00+00:00,5.0,1,M
F,GA8,INR UA /OV INR-TTW /TM 1805 /FL045 /TP GA8 /TB NEG /IC NEG /RMWINDY PASS VFR,NEG,,4500.0,63.56,-148.93,2017-05-13 18:05:00+00:00,0.0,0,U
T,C172,ABQ UUA /OV FTI180020/TM 1956/FL125/TP C172/TB SEV/RM SEV MTN WAVE + OR - 800 TO 1800FT,SEV,,12500.0,35.326639666639664,-105.14,2017-05-02 19:56:00+00:00,5.0,0,L
F,CRJ9,SBN UA /OV ELX/TM 1148/FL360/TP CRJ9/TB MOD CHOP,MOD CHOP,,36000.0,42.14,-86.12,2017-05-21 11:48:00+00:00,3.0,0,U
F,B737,DLH UA /OV DLH270023/TM 1810/FL370/TP B737/TA M56/WV 20893KT/TB OCNL LGT CHOP,OCNL LGT CHOP,,37000.0,46.84208,-92.75410478756976,2017-05-20 18:10:00+00:00,1.0,0,M
